test_case,covered_branches
"RegressionTest3::test1853",18
"HelpFormatterTest::testPrintSortedUsage",18
"HelpFormatterTest::testPrintSortedUsageWithNullComparator",18
"RegressionTest1::test0913",18
"RegressionTest2::test1083",18
"RegressionTest2::test1415",18
"RegressionTest2::test1499",18
"RegressionTest0::test0127",18
"RegressionTest0::test0145",18
"RegressionTest0::test0455",18
"HelpFormatterTest::testAutomaticUsage",17
"HelpFormatterTest::testPrintUsage",17
"HelpFormatterTest::testPrintOptionWithEmptyArgNameUsage",17
"RegressionTest2::test1108",17
"RegressionTest2::test1213",17
"RegressionTest2::test1363",17
"RegressionTest3::test1532",16
"RegressionTest3::test1672",16
"RegressionTest3::test1725",16
"RegressionTest3::test1855",16
"RegressionTest3::test1948",16
"HelpFormatterTest::testHeaderStartingWithLineSeparator",16
"RegressionTest1::test0525",16
"RegressionTest1::test0561",16
"RegressionTest1::test0684",16
"RegressionTest1::test0824",16
"RegressionTest1::test0862",16
"RegressionTest1::test0901",16
"RegressionTest1::test0902",16
"RegressionTest1::test0994",16
"RegressionTest1::test0998",16
"RegressionTest2::test1076",16
"RegressionTest2::test1111",16
"RegressionTest2::test1139",16
"RegressionTest2::test1310",16
"RegressionTest2::test1458",16
"RegressionTest0::test0193",16
"RegressionTest3::test1642",15
"RegressionTest3::test1885",15
"RegressionTest1::test0685",15
"RegressionTest1::test0788",15
"RegressionTest1::test0985",15
"RegressionTest2::test1197",15
"RegressionTest2::test1276",15
"RegressionTest2::test1326",15
"RegressionTest2::test1402",15
"RegressionTest2::test1490",15
"RegressionTest0::test0124",15
"RegressionTest0::test0215",15
"RegressionTest0::test0459",15
"RegressionTest3::test1525",14
"RegressionTest3::test1546",14
"RegressionTest3::test1662",14
"RegressionTest3::test1698",14
"RegressionTest3::test1772",14
"RegressionTest3::test1820",14
"RegressionTest3::test1923",14
"RegressionTest3::test1931",14
"RegressionTest3::test1963",14
"RegressionTest3::test1975",14
"RegressionTest1::test0723",14
"RegressionTest1::test0760",14
"RegressionTest1::test0767",14
"RegressionTest1::test0812",14
"RegressionTest1::test0885",14
"RegressionTest1::test0921",14
"RegressionTest1::test0922",14
"RegressionTest1::test0989",14
"RegressionTest2::test1212",14
"RegressionTest2::test1350",14
"RegressionTest2::test1352",14
"RegressionTest2::test1356",14
"RegressionTest2::test1454",14
"RegressionTest0::test0195",14
"RegressionTest0::test0430",14
"RegressionTest0::test0474",14
"RegressionTest0::test0492",14
"RegressionTest3::test1527",13
"RegressionTest3::test1550",13
"RegressionTest3::test1553",13
"RegressionTest3::test1595",13
"RegressionTest3::test1726",13
"RegressionTest3::test1747",13
"RegressionTest3::test1837",13
"RegressionTest3::test1854",13
"RegressionTest3::test1961",13
"RegressionTest1::test0527",13
"RegressionTest1::test0537",13
"RegressionTest1::test0620",13
"RegressionTest1::test0647",13
"RegressionTest1::test0676",13
"RegressionTest1::test0721",13
"RegressionTest1::test0751",13
"RegressionTest1::test0804",13
"RegressionTest2::test1019",13
"RegressionTest2::test1110",13
"RegressionTest2::test1182",13
"RegressionTest2::test1323",13
"RegressionTest2::test1418",13
"RegressionTest2::test1442",13
"RegressionTest2::test1471",13
"RegressionTest0::test0041",13
"RegressionTest0::test0151",13
"RegressionTest0::test0183",13
"RegressionTest0::test0207",13
"RegressionTest0::test0452",13
"ArgumentIsOptionTest::testOptionAndOptionWithArgument",13
"HelpFormatter_ESTest::test07",13
"HelpFormatter_ESTest::test09",13
"HelpFormatter_ESTest::test10",13
"HelpFormatter_ESTest::test37",13
"RegressionTest3::test1507",12
"RegressionTest3::test1751",12
"RegressionTest3::test1774",12
"RegressionTest3::test1818",12
"RegressionTest3::test1867",12
"RegressionTest3::test1870",12
"RegressionTest3::test1880",12
"RegressionTest3::test1915",12
"RegressionTest3::test1959",12
"RegressionTest3::test1974",12
"RegressionTest3::test1987",12
"HelpFormatterTest::testPrintWrapped",12
"RegressionTest1::test0526",12
"RegressionTest1::test0532",12
"RegressionTest1::test0551",12
"RegressionTest1::test0602",12
"RegressionTest1::test0628",12
"RegressionTest1::test0688",12
"RegressionTest1::test0711",12
"RegressionTest1::test0768",12
"RegressionTest1::test0777",12
"RegressionTest1::test0847",12
"RegressionTest1::test0877",12
"RegressionTest1::test0897",12
"RegressionTest1::test0960",12
"OptionTest::testClone",12
"RegressionTest2::test1303",12
"RegressionTest2::test1320",12
"RegressionTest2::test1335",12
"RegressionTest2::test1338",12
"RegressionTest2::test1412",12
"RegressionTest2::test1414",12
"RegressionTest2::test1440",12
"RegressionTest2::test1478",12
"RegressionTest0::test0040",12
"RegressionTest0::test0043",12
"RegressionTest0::test0126",12
"RegressionTest0::test0139",12
"RegressionTest0::test0335",12
"RegressionTest0::test0374",12
"RegressionTest0::test0380",12
"RegressionTest0::test0405",12
"RegressionTest0::test0422",12
"PatternOptionBuilderTest::testSimplePattern",12
"Option_ESTest::test51",11
"RegressionTest3::test1552",11
"RegressionTest3::test1633",11
"RegressionTest3::test1667",11
"RegressionTest3::test1758",11
"RegressionTest3::test1784",11
